,CUDI_REPRO,CULT_REPRO,CUNO_REPRO,GRLT,GRWD,GRWT100,HDG_80HEAD,LIGLT,LLT,LWD,PLT_POST,SDHT,country,region,subespecie
IRIS_313.10096,2.3,57.0,15.0,7.8,3.1,2.5,58.0,7.0,23.0,0.9,14.0,31.0,South_Korea,EAS,JAP
IRIS_313.12290,5.9,140.0,27.0,8.3,3.3,2.6,115.0,18.0,76.0,1.3,28.0,38.0,Myanmar,SEA,IND
IRIS_313.8683,5.0,96.0,14.0,7.9,2.2,1.9,143.0,15.0,44.0,0.9,24.0,35.0,Bangladesh,SAS,IND
IRIS_313.11622,4.3,64.0,28.0,7.0,2.9,2.4,76.0,9.0,28.0,1.0,19.4,30.0,China,EAS,IND
IRIS_313.11599,4.0,96.0,15.0,9.2,2.5,2.4,82.0,12.0,38.0,1.0,18.0,45.0,India,SAS,IND
IRIS_313.10279,5.1,72.0,22.0,10.3,2.6,2.9,96.0,19.0,37.0,1.4,27.6,23.0,Dominican_Republic,AME,IND
IRIS_313.11956,4.3,96.0,17.0,7.8,3.2,2.2,84.0,12.0,40.0,1.1,20.0,58.0,Nepal,SAS,ADM
IRIS_313.11505,5.0,128.0,14.0,8.6,3.0,2.6,110.0,23.0,62.0,1.2,25.0,35.0,India,SAS,IND
IRIS_313.11155,4.0,62.0,14.0,7.8,3.0,2.5,80.0,10.0,34.0,1.5,22.0,26.0,India,SAS,JAP
IRIS_313.11506,5.0,91.0,18.0,7.6,3.3,2.7,119.0,15.0,44.0,1.4,21.0,41.0,India,SAS,IND
IRIS_313.11197,4.0,80.0,12.0,8.3,2.7,2.0,67.0,15.0,42.0,1.2,20.0,52.0,India,SAS,IND
IRIS_313.8277,5.0,103.0,17.0,9.5,3.6,3.6,101.0,14.0,54.0,1.8,25.0,37.0,Ivory_Coast,AFR,JAP
IRIS_313.11759,5.0,104.0,17.0,8.8,3.1,2.6,102.0,11.0,55.0,1.7,27.0,39.0,Ivory_Coast,AFR,JAP
IRIS_313.10404,3.7,88.0,21.0,8.3,2.7,2.7,69.0,10.0,45.8,0.9,26.0,45.0,India,SAS,IND
IRIS_313.11198,4.0,90.0,16.0,8.0,3.5,2.3,67.0,8.0,38.0,1.2,19.0,39.0,India,SAS,JAP
IRIS_313.10654,4.0,81.0,14.0,10.8,2.9,2.2,76.0,22.0,52.0,1.1,25.0,54.0,Laos,SEA,IND
IRIS_313.9314,5.0,120.0,12.0,10.3,2.8,2.8,103.0,22.0,67.0,1.6,30.0,32.0,Indonesia,SEA,IND
IRIS_313.10776,5.0,100.0,12.0,8.3,3.6,2.0,83.0,9.0,58.0,2.0,26.0,52.0,Indonesia,SEA,JAP
IRIS_313.11722,3.0,63.0,17.0,8.2,2.6,1.8,88.0,18.0,39.0,1.0,22.0,25.0,Bangladesh,SAS,IND
IRIS_313.11084,5.0,138.0,12.0,10.4,2.9,3.1,111.0,16.0,44.0,1.7,28.0,54.0,Cambodia,SEA,IND
IRIS_313.11016,4.0,96.0,14.0,8.1,2.7,1.9,82.0,18.0,46.0,1.0,23.0,46.0,Bangladesh,SAS,AUS
IRIS_313.9208,4.0,170.0,13.0,8.7,3.1,2.4,157.0,20.0,60.0,1.5,27.0,48.0,Indonesia,SEA,IND
IRIS_313.11168,4.0,116.0,13.0,9.3,2.6,3.3,77.0,19.0,62.0,1.5,23.0,51.0,India,SAS,AUS
IRIS_313.11211,5.0,145.0,12.0,9.1,3.3,3.2,128.0,20.0,64.0,1.1,29.0,57.0,Bangladesh,SAS,IND
IRIS_313.11959,7.0,168.0,22.0,8.6,3.4,2.9,130.0,31.0,71.0,1.3,28.0,65.0,Philippines,SEA,IND
